id,hour,latitude,longitude,date_time,area,heat_wrf,type,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live
11471,0,46.0762,-121.389,201508140000Z,0.144701,9781.98,WF,13.4812,10.5259,10.5225,11.0114,72
11472,0,46.0762,-121.383,201508140000Z,1.37461,150530,WF,13.3043,10.4783,10.536,11.0126,72
11473,0,46.0762,-121.377,201508140000Z,0.98039,113708,WF,13.1277,10.3935,10.5229,11.0108,72
11474,0,46.0762,-121.371,201508140000Z,0.0727319,4659.11,WF,13.0415,10.2911,10.4971,11.0079,72
11475,0,46.0762,-121.354,201508140000Z,0.0378869,3800.52,WF,12.841,10.0673,10.4294,11.0015,72
11476,0,46.0762,-121.348,201508140000Z,0.0424856,2093.39,WF,12.8597,10.0374,10.4138,10.9998,72
11477,0,46.0802,-121.4,201508140000Z,0.996725,91765.9,WF,14.2414,11.0855,10.5676,11.0138,72
11478,0,46.0802,-121.394,201508140000Z,2.94611,236654,WF,14.0775,10.9569,10.5635,11.0139,72
11479,0,46.0802,-121.389,201508140000Z,2.95588,454887,WF,13.1925,10.3185,10.4505,11.0018,72
11480,0,46.0802,-121.383,201508140000Z,1.26849,216175,WF,12.9601,10.2228,10.457,11.0023,72
11481,0,46.0802,-121.377,201508140000Z,1.07202,174309,WF,12.7736,10.1795,10.4551,11.0017,72
11482,0,46.0802,-121.371,201508140000Z,2.63349,211611,WF,12.6882,10.115,10.441,10.9995,72
11483,0,46.0802,-121.366,201508140000Z,1.37903,85097.1,WF,12.7239,10.0637,10.4299,10.9986,72
11484,0,46.0802,-121.36,201508140000Z,1.86827,158316,WF,12.5558,9.94965,10.3914,10.9952,72
11485,0,46.0802,-121.354,201508140000Z,0.199358,14842,WF,12.642,9.91799,10.3606,10.9917,72
11486,0,46.0802,-121.348,201508140000Z,0.933372,76476.8,WF,12.6424,9.88957,10.3309,10.9878,72
11487,0,46.0802,-121.343,201508140000Z,0.0769939,6926.21,WF,12.7155,9.88895,10.3252,10.9875,72
11488,0,46.0842,-121.406,201508140000Z,1.70587,180205,WF,14.2975,11.1307,10.5122,11.0062,72
11489,0,46.0842,-121.4,201508140000Z,0.865051,66769.4,WF,14.3236,11.0368,10.4942,11.0037,72
11490,0,46.0842,-121.394,201508140000Z,0.0341623,2707.09,WF,14.2872,10.9293,10.4855,11.0022,72
11491,0,46.0842,-121.389,201508140000Z,0.00513654,497.014,WF,13.373,10.3149,10.3783,10.9911,72
11492,0,46.0842,-121.383,201508140000Z,0.00110352,96.6432,WF,13.1779,10.287,10.4138,10.9953,72
11493,0,46.0842,-121.377,201508140000Z,0.00432631,348.06,WF,12.9645,10.22,10.4099,10.9945,72
11494,0,46.0842,-121.371,201508140000Z,0.0137411,1099.16,WF,12.8738,10.1676,10.4009,10.9926,72
11495,0,46.0842,-121.366,201508140000Z,0.0142494,1101.25,WF,12.903,10.1313,10.3931,10.9923,72
11496,0,46.0842,-121.36,201508140000Z,0.00546678,406.779,WF,12.6653,10.0095,10.3684,10.9898,72
11497,0,46.0842,-121.354,201508140000Z,0.00513178,488.281,WF,12.6753,9.94541,10.3309,10.9853,72
11498,0,46.0842,-121.348,201508140000Z,0.260074,17647,WF,12.5686,9.8417,10.2833,10.9798,72
11499,0,46.0842,-121.343,201508140000Z,0.67979,66681.9,WF,12.492,9.76715,10.2638,10.9778,72
11500,0,46.0882,-121.406,201508140000Z,1.1883,89780.8,WF,14.1943,10.968,10.4441,10.9968,72
11501,0,46.0882,-121.4,201508140000Z,0.0342519,2652.74,WF,14.3066,10.9322,10.4321,10.9947,72
11502,0,46.0882,-121.394,201508140000Z,0.0196452,1451.22,WF,14.2605,10.9261,10.4411,10.9953,72
11503,0,46.0882,-121.389,201508140000Z,0.00126949,108.624,WF,14.2211,10.9494,10.4826,11.0003,72
11504,0,46.0882,-121.383,201508140000Z,0.001,67.6562,WF,13.4337,10.4455,10.3974,10.9922,72
11505,0,46.0882,-121.377,201508140000Z,0.001,86.2187,WF,13.2599,10.3448,10.3896,10.9911,72
11506,0,46.0882,-121.371,201508140000Z,0.00274568,206.347,WF,13.051,10.228,10.353,10.9867,72
11507,0,46.0882,-121.366,201508140000Z,0.00652124,451.22,WF,13.0101,10.1744,10.3462,10.9851,72
11508,0,46.0882,-121.36,201508140000Z,0.00335164,256.677,WF,12.9217,10.1034,10.3287,10.9824,72
11509,0,46.0882,-121.354,201508140000Z,0.00215029,170.373,WF,12.7917,10.0023,10.2993,10.9799,72
11510,0,46.0882,-121.348,201508140000Z,0.0329992,2978.4,WF,12.6461,9.89015,10.2655,10.9766,72
11511,0,46.0882,-121.343,201508140000Z,0.617605,39129.7,WF,12.5006,9.78037,10.2334,10.9726,72
11512,0,46.0922,-121.435,201508140000Z,2.08964,342230,WF,13.6207,10.8343,10.3594,10.9888,72
11513,0,46.0922,-121.429,201508140000Z,2.08382,330423,WF,13.6674,10.8124,10.357,10.9883,72
11514,0,46.0922,-121.423,201508140000Z,0.778065,121106,WF,13.7913,10.8125,10.3611,10.9885,72
11515,0,46.0922,-121.418,201508140000Z,4.08218,307918,WF,13.8703,10.8274,10.3706,10.9896,72
11516,0,46.0922,-121.412,201508140000Z,0.373684,26526.7,WF,13.9668,10.8284,10.3759,10.9896,72
11517,0,46.0922,-121.406,201508140000Z,0.0139769,1173.57,WF,14.0354,10.7648,10.3674,10.9878,72
11518,0,46.0922,-121.4,201508140000Z,0.00395509,327.612,WF,14.1052,10.8097,10.3837,10.9889,72
11519,0,46.0922,-121.394,201508140000Z,0.012247,943.324,WF,14.1844,10.9221,10.4242,10.9929,72
11520,0,46.0922,-121.389,201508140000Z,0.001,16.8517,WF,14.1826,10.973,10.4634,10.9972,72
11521,0,46.0922,-121.383,201508140000Z,1.00E-03,3.07625,WF,14.0998,10.9576,10.4874,11.0004,72
11522,0,46.0922,-121.377,201508140000Z,0.001,23.8588,WF,13.4365,10.4716,10.3707,10.9884,72
11523,0,46.0922,-121.371,201508140000Z,0.001,24.5317,WF,13.2986,10.3579,10.3453,10.9844,72
11524,0,46.0922,-121.366,201508140000Z,0.001,69.1048,WF,13.1905,10.2802,10.3165,10.9803,72
11525,0,46.0922,-121.36,201508140000Z,0.0011417,95.9707,WF,13.0412,10.1552,10.2756,10.9758,72
11526,0,46.0922,-121.354,201508140000Z,0.00843575,664.92,WF,13.059,10.091,10.2523,10.9729,72
11527,0,46.0922,-121.348,201508140000Z,0.0343615,2712.65,WF,12.7446,9.89824,10.2183,10.9689,72
11528,0,46.0922,-121.343,201508140000Z,2.13548,173628,WF,12.3092,9.69991,10.1902,10.9659,72
11529,0,46.0922,-121.337,201508140000Z,0.600055,54880.1,WF,12.319,9.67571,10.1593,10.9635,72
11530,0,46.0962,-121.441,201508140000Z,0.856215,104009,WF,13.7049,10.8707,10.3435,10.9877,72
11531,0,46.0962,-121.435,201508140000Z,2.51073,429762,WF,13.3943,10.7206,10.3219,10.9844,72
11532,0,46.0962,-121.429,201508140000Z,0.0130976,1409.41,WF,13.5766,10.6892,10.3049,10.9821,72
11533,0,46.0962,-121.423,201508140000Z,0.0240837,2298.05,WF,13.6603,10.6616,10.3057,10.9822,72
11534,0,46.0962,-121.418,201508140000Z,0.396659,25961.4,WF,13.7707,10.7405,10.3332,10.985,72
11535,0,46.0962,-121.412,201508140000Z,0.0286075,2279.79,WF,13.8128,10.727,10.3407,10.9855,72
11536,0,46.0962,-121.406,201508140000Z,0.00339806,268.686,WF,13.8123,10.7312,10.3558,10.9869,72
11537,0,46.0962,-121.4,201508140000Z,0.00134362,113.853,WF,13.9057,10.7835,10.3749,10.988,72
11538,0,46.0962,-121.394,201508140000Z,0.00167646,134.472,WF,13.9978,10.853,10.3927,10.9888,72
11539,0,46.0962,-121.389,201508140000Z,1.00E-03,0.336003,WF,14.1009,10.9285,10.4265,10.9928,72
11540,0,46.0962,-121.383,201508140000Z,1.00E-03,0.382804,WF,14.1192,10.9601,10.4545,10.9956,72
11541,0,46.0962,-121.366,201508140000Z,1.00E-03,7.32255,WF,13.3093,10.3514,10.2928,10.9777,72
11542,0,46.0962,-121.36,201508140000Z,0.001,26.0369,WF,13.1319,10.2235,10.2571,10.973,72
11543,0,46.0962,-121.354,201508140000Z,0.00139675,103.371,WF,13.0155,10.0754,10.2123,10.9671,72
11544,0,46.0962,-121.348,201508140000Z,0.00486682,375.35,WF,12.8675,9.89379,10.1673,10.9623,72
11545,0,46.0962,-121.343,201508140000Z,0.0254588,3465.71,WF,12.3326,9.66312,10.1262,10.9579,72
11546,0,46.0962,-121.337,201508140000Z,3.16436,303965,WF,12.0095,9.59192,10.1086,10.9564,72
11547,0,46.0962,-121.331,201508140000Z,0.926821,75110.4,WF,12.1028,9.5675,10.0757,10.9531,72
11548,0,46.0962,-121.325,201508140000Z,0.625949,72375,WF,12.1231,9.58074,10.0763,10.9545,72
11549,0,46.1002,-121.441,201508140000Z,2.68191,326357,WF,13.5598,10.8447,10.3285,10.9864,72
11550,0,46.1002,-121.435,201508140000Z,0.0274778,2422.53,WF,13.4875,10.7218,10.3046,10.9831,72
11551,0,46.1002,-121.429,201508140000Z,0.0102881,830.324,WF,13.5276,10.7036,10.2978,10.9821,72
11552,0,46.1002,-121.423,201508140000Z,0.0155402,1382.47,WF,13.631,10.7396,10.3113,10.9832,72
