id,event_id,latitude,longitude,type,area,date_time
ECY_ADD_1,Wildfires,46.672344,-119.972187,WF,10,201608010000Z
EPA_AG_295,Wildfires,47.399,-120.049,WF,10,201608010000Z
EPA_AG_297,Wildfires,47.33,-120.15,WF,10,201608010000Z
EPA_AG_298,Wildfires,47.33,-120.15,WF,10,201608010000Z
EPA_AG_299,Wildfires,47.35,-119.99,WF,10,201608010000Z
EPA_AG_300,Wildfires,47.316,-120.145,WF,10,201608010000Z
EPA_AG_301,Wildfires,47.43,-119.91,WF,10,201608010000Z
EPA_AG_302,Wildfires,47.358,-120.047,WF,10,201608010000Z
EPA_AG_303,Wildfires,47.349,-120.042,WF,10,201608010000Z
EPA_AG_304,Wildfires,47.351,-119.977,WF,10,201608010000Z
EPA_AG_305,Wildfires,47.33,-120.01,WF,10,201608010000Z
EPA_AG_306,Wildfires,47.32,-120.02,WF,10,201608010000Z
EPA_AG_308,Wildfires,47.326,-120.015,WF,10,201608010000Z
EPA_AG_309,Wildfires,47.323,-120.014,WF,10,201608010000Z
EPA_AG_310,Wildfires,47.298,-120.006,WF,10,201608010000Z
EPA_AG_311,Wildfires,47.267,-119.912,WF,10,201608010000Z
EPA_AG_319,Wildfires,47.353,-119.741,WF,10,201608010000Z
EPA_AG_320,Wildfires,47.335,-119.75,WF,10,201608010000Z
EPA_AG_321,Wildfires,47.259,-119.944,WF,10,201608010000Z
EPA_AG_341,Wildfires,46.51,-120.44,WF,10,201608010000Z
EPA_AG_342,Wildfires,46.528,-120.401,WF,10,201608010000Z
EPA_AG_344,Wildfires,46.529,-120.4,WF,10,201608010000Z
EPA_AG_351,Wildfires,46.502,-117.281,WF,10,201608010000Z
EPA_AG_354,Wildfires,46.61,-119.99,WF,10,201608010000Z
EPA_AG_358,Wildfires,47.906,-117.677,WF,10,201608010000Z
EPA_AG_388,Wildfires,47.007,-118.644,WF,10,201608010000Z
EPA_AG_390,Wildfires,46.997,-118.648,WF,10,201608010000Z
EPA_AG_391,Wildfires,47.01,-118.65,WF,10,201608010000Z
EPA_AG_395,Wildfires,47.92,-119.5,WF,10,201608010000Z
EPA_AG_396,Wildfires,46.486,-118.881,WF,10,201608010000Z
EPA_AG_403,Wildfires,46.84,-119.44,WF,10,201608010000Z
EPA_AG_404,Wildfires,46.83,-119.47,WF,10,201608010000Z
EPA_AG_405,Wildfires,46.81,-119.38,WF,10,201608010000Z
EPA_AG_406,Wildfires,46.82,-119.39,WF,10,201608010000Z
EPA_AG_407,Wildfires,46.83,-119.42,WF,10,201608010000Z
EPA_AG_408,Wildfires,46.83,-119.43,WF,10,201608010000Z
EPA_AG_409,Wildfires,46.84,-119.41,WF,10,201608010000Z
EPA_AG_410,Wildfires,46.84,-119.42,WF,10,201608010000Z
EPA_AG_411,Wildfires,46.84,-119.45,WF,10,201608010000Z
EPA_AG_412,Wildfires,46.84,-119.46,WF,10,201608010000Z
EPA_AG_413,Wildfires,46.797,-119.338,WF,10,201608010000Z
EPA_AG_414,Wildfires,46.794,-119.344,WF,10,201608010000Z
EPA_AG_415,Wildfires,46.809,-119.343,WF,10,201608010000Z
EPA_AG_416,Wildfires,46.785,-119.3,WF,10,201608010000Z
EPA_AG_417,Wildfires,46.78,-119.256,WF,10,201608010000Z
EPA_AG_418,Wildfires,46.761,-119.283,WF,10,201608010000Z
EPA_AG_447,Wildfires,47.359,-119.751,WF,10,201608010000Z
EPA_AG_450,Wildfires,47.36,-119.76,WF,10,201608010000Z
EPA_AG_451,Wildfires,47.36,-119.78,WF,10,201608010000Z
EPA_AG_452,Wildfires,47.37,-119.76,WF,10,201608010000Z
EPA_AG_453,Wildfires,47.37,-119.78,WF,10,201608010000Z
EPA_AG_456,Wildfires,47.344,-119.748,WF,10,201608010000Z
EPA_AG_457,Wildfires,47.336,-119.714,WF,10,201608010000Z
EPA_AG_458,Wildfires,47.322,-119.721,WF,10,201608010000Z
EPA_AG_459,Wildfires,47.34,-119.754,WF,10,201608010000Z
EPA_AG_460,Wildfires,47.332,-119.721,WF,10,201608010000Z
EPA_AG_464,Wildfires,47.32,-119.719,WF,10,201608010000Z
EPA_AG_465,Wildfires,47.34,-119.731,WF,10,201608010000Z
EPA_AG_467,Wildfires,47.323,-119.72,WF,10,201608010000Z
EPA_AG_468,Wildfires,47.323,-119.729,WF,10,201608010000Z
EPA_AG_469,Wildfires,47.319,-119.717,WF,10,201608010000Z
EPA_AG_478,Wildfires,47.477,-118.723,WF,10,201608010000Z
EPA_AG_479,Wildfires,47.47,-118.723,WF,10,201608010000Z
EPA_AG_483,Wildfires,47.472,-118.721,WF,10,201608010000Z
EPA_AG_489,Wildfires,48.144,-119.69,WF,10,201608010000Z
EPA_AG_614,Wildfires,47.481,-119.557,WF,10,201608010000Z
EPA_AG_615,Wildfires,47.488,-119.574,WF,10,201608010000Z
EPA_AG_616,Wildfires,47.507,-119.553,WF,10,201608010000Z
EPA_AG_617,Wildfires,47.506,-119.557,WF,10,201608010000Z
EPA_AG_619,Wildfires,47.482,-119.562,WF,10,201608010000Z
SF11C747981,Wildfires,48.697,-122.683,WF,10,201608010000Z
SF11C748373,Wildfires,48.503,-123.039,WF,10,201608010000Z
SF11C761409,Wildfires,45.745,-122.545,WF,10,201608010000Z
SF11C763008,Wildfires,48.227,-120.124,WF,10,201608010000Z
SF11C763092,Wildfires,46.561,-122.861,WF,10,201608010000Z
SF11C763123,Wildfires,48.304,-117.267,WF,10,201608010000Z
SF11C768269,Wildfires,47.84,-117.742,WF,10,201608010000Z
SF11C768494,Wildfires,47.863,-117.35,WF,10,201608010000Z
SF11C768960,Wildfires,47.371,-121.972,WF,10,201608010000Z
SF11C769668,Wildfires,48.799,-119.299,WF,10,201608010000Z
SF11C769846,Wildfires,47.649,-117.495,WF,10,201608010000Z
SF11C769976,Wildfires,48.897,-118.588,WF,10,201608010000Z
SF11C770315,Wildfires,48.067,-117.167,WF,10,201608010000Z
SF11C771858,Wildfires,46.614,-123.066,WF,10,201608010000Z
SF11C771875,Wildfires,47.923,-117.287,WF,10,201608010000Z
SF11C771909,Wildfires,48.804,-119.319,WF,10,201608010000Z
SF11C771975,Wildfires,47.506,-117.697,WF,10,201608010000Z
SF11C772028,Wildfires,48.712,-117.697,WF,10,201608010000Z
SF11C772028,Wildfires,48.712,-117.697,WF,10,201608010000Z
SF11C772237,Wildfires,48.685,-118.677,WF,10,201608010000Z
SF11C772484,Wildfires,45.677,-122.757,WF,10,201608010000Z
SF11C772490,Wildfires,48.568,-117.923,WF,10,201608010000Z
SF11C772524,Wildfires,46.288,-118.064,WF,10,201608010000Z
SF11C772597,Wildfires,47.198,-120.966,WF,10,201608010000Z
SF11C772828,Wildfires,48.189,-120.115,WF,10,201608010000Z
SF11C773084,Wildfires,48.856,-117.977,WF,10,201608010000Z
SF11C773095,Wildfires,47.184,-120.462,WF,10,201608010000Z
SF11C773095,Wildfires,47.184,-120.462,WF,10,201608010000Z
SF11C773303,Wildfires,47.521,-117.477,WF,10,201608010000Z
SF11C773722,Wildfires,46.653,-123.115,WF,10,201608010000Z
SF11C773746,Wildfires,48.158,-117.613,WF,10,201608010000Z
SF11C773902,Wildfires,48.506,-120.174,WF,10,201608010000Z
SF11C774200,Wildfires,47.476,-117.578,WF,10,201608010000Z
SF11C774498,Wildfires,47.651,-117.291,WF,10,201608010000Z
SF11C774657,Wildfires,47.726,-117.317,WF,10,201608010000Z
SF11C774673,Wildfires,48.494,-123.04,WF,10,201608010000Z
SF11C774834,Wildfires,47.789,-117.887,WF,10,201608010000Z
SF11C775078,Wildfires,47.735,-117.056,WF,10,201608010000Z
SF11C775129,Wildfires,47.789,-117.349,WF,10,201608010000Z
SF11C775347,Wildfires,48.72,-118.979,WF,10,201608010000Z
SF11C775913,Wildfires,47.52,-117.668,WF,10,201608010000Z
SF11C776193,Wildfires,45.846,-120.895,WF,10,201608010000Z
SF11C776237,Wildfires,47.716,-117.562,WF,10,201608010000Z
SF11C776265,Wildfires,46.846,-120.963,WF,10,201608010000Z
SF11C776451,Wildfires,47.428,-117.768,WF,10,201608010000Z
SF11C776484,Wildfires,45.615,-122.053,WF,10,201608010000Z
SF11C776486,Wildfires,47.69,-117.576,WF,10,201608010000Z
SF11C776507,Wildfires,46.954,-122.579,WF,10,201608010000Z
SF11C776510,Wildfires,47.405,-120.398,WF,10,201608010000Z
SF11C776554,Wildfires,47.569,-117.491,WF,10,201608010000Z
SF11C776635,Wildfires,48.329,-118.102,WF,10,201608010000Z
SF11C776668,Wildfires,47.13,-122.165,WF,10,201608010000Z
SF11C776693,Wildfires,47.835,-117.826,WF,10,201608010000Z
SF11C776775,Wildfires,48.867,-118.584,WF,10,201608010000Z
SF11C776807,Wildfires,46.65,-120.775,WF,10,201608010000Z
SF11C776917,Wildfires,47.869,-118.251,WF,10,201608010000Z
SF11C776919,Wildfires,47.893,-118.195,WF,10,201608010000Z
SF11C776924,Wildfires,47.532,-117.493,WF,10,201608010000Z
SF11C776995,Wildfires,46.685,-123.356,WF,10,201608010000Z
SF11C777001,Wildfires,48.835,-119.381,WF,10,201608010000Z
SF11C777039,Wildfires,47.68,-117.205,WF,10,201608010000Z
SF11C777044,Wildfires,46.805,-120.926,WF,10,201608010000Z
SF11C777176,Wildfires,48.344,-118.117,WF,10,201608010000Z
SF11C777243,Wildfires,45.677,-122.757,WF,10,201608010000Z
SF11C777302,Wildfires,47.731,-118.262,WF,10,201608010000Z
SF11C777472,Wildfires,47.858,-117.341,WF,10,201608010000Z
SF11C777517,Wildfires,45.852,-120.995,WF,10,201608010000Z
SF11C777626,Wildfires,47.789,-118.299,WF,10,201608010000Z
SF11C777701,Wildfires,47.574,-117.225,WF,10,201608010000Z
SF11C778179,Wildfires,47.722,-117.09,WF,10,201608010000Z
SF11C778212,Wildfires,48.062,-118.222,WF,10,201608010000Z
SF11C778304,Wildfires,48.652,-119.097,WF,10,201608010000Z
SF11C778524,Wildfires,48.059,-117.623,WF,10,201608010000Z
SF11C778525,Wildfires,47.613,-117.607,WF,10,201608010000Z
SF11C778660,Wildfires,46.989,-123.003,WF,10,201608010000Z
SF11C778741,Wildfires,47.744,-117.614,WF,10,201608010000Z
SF11C778837,Wildfires,48.514,-123.05,WF,10,201608010000Z
SF11C779194,Wildfires,48.533,-118.183,WF,10,201608010000Z
SF11C779314,Wildfires,47.552,-117.18,WF,10,201608010000Z
SF11C779348,Wildfires,47.866,-117.63,WF,10,201608010000Z
SF11C779403,Wildfires,47.834,-117.807,WF,10,201608010000Z
SF11C779705,Wildfires,46.951,-122.59,WF,10,201608010000Z
SF11C779713,Wildfires,47.119,-120.401,WF,10,201608010000Z
SF11C779778,Wildfires,47.78,-117.505,WF,10,201608010000Z
SF11C780114,Wildfires,47.723,-117.324,WF,10,201608010000Z
SF11C780128,Wildfires,46.941,-119.99,WF,10,201608010000Z
SF11C780203,Wildfires,47.439,-122.926,WF,10,201608010000Z
SF11C780759,Wildfires,47.878,-117.538,WF,10,201608010000Z
SF11C781007,Wildfires,47.709,-117.306,WF,10,201608010000Z
SF11C781042,Wildfires,47.498,-117.659,WF,10,201608010000Z
SF11C781064,Wildfires,46.713,-122.983,WF,10,201608010000Z
SF11C781306,Wildfires,48.033,-122.79,WF,10,201608010000Z
SF11C781411,Wildfires,48.299,-117.28,WF,10,201608010000Z
SF11C781485,Wildfires,46.192,-122.918,WF,10,201608010000Z
SF11C781509,Wildfires,48.171,-120.128,WF,10,201608010000Z
SF11C781561,Wildfires,46.084,-116.999,WF,10,201608010000Z
SF11C781948,Wildfires,46.735,-124.069,WF,10,201608010000Z
SF11C782197,Wildfires,47.696,-117.312,WF,10,201608010000Z
SF11C782391,Wildfires,48.281,-118.13,WF,10,201608010000Z
SF11C782392,Wildfires,48.722,-117.945,WF,10,201608010000Z
SF11C782424,Wildfires,48.306,-117.762,WF,10,201608010000Z
SF11C782625,Wildfires,47.857,-117.658,WF,10,201608010000Z
SF11C782670,Wildfires,48.465,-118.162,WF,10,201608010000Z
SF11C782811,Wildfires,47.949,-121.688,WF,10,201608010000Z
SF11C782813,Wildfires,45.897,-121.012,WF,10,201608010000Z
SF11C782899,Wildfires,46.803,-123.037,WF,10,201608010000Z
SF11C782944,Wildfires,47.689,-117.349,WF,10,201608010000Z
SF11C782983,Wildfires,48.176,-117.298,WF,10,201608010000Z
SF11C783006,Wildfires,48.524,-123.062,WF,10,201608010000Z
SF11C783161,Wildfires,45.777,-122.526,WF,10,201608010000Z
SF11C783226,Wildfires,47.867,-117.543,WF,10,201608010000Z
SF11C783314,Wildfires,46.588,-123.105,WF,10,201608010000Z
SF11C783604,Wildfires,47.834,-117.356,WF,10,201608010000Z
SF11C783606,Wildfires,46.842,-123.065,WF,10,201608010000Z
SF11C783623,Wildfires,47.836,-117.366,WF,10,201608010000Z
SF11C783841,Wildfires,45.658,-121.084,WF,10,201608010000Z
SF11C783984,Wildfires,46.917,-121.045,WF,10,201608010000Z
SF11C784084,Wildfires,45.969,-120.461,WF,10,201608010000Z
SF11C784149,Wildfires,48.302,-117.792,WF,10,201608010000Z
SF11C784151,Wildfires,47.688,-117.328,WF,10,201608010000Z
SF11C784152,Wildfires,47.827,-117.284,WF,10,201608010000Z
SF11C784165,Wildfires,48.688,-122.189,WF,10,201608010000Z
SF11C784499,Wildfires,48.669,-118.617,WF,10,201608010000Z
SF11C784588,Wildfires,45.932,-122.794,WF,10,201608010000Z
SF11C784596,Wildfires,45.846,-122.568,WF,10,201608010000Z
SF11C784707,Wildfires,47.847,-117.537,WF,10,201608010000Z
SF11C784736,Wildfires,47.575,-117.723,WF,10,201608010000Z
SF11C784920,Wildfires,47.633,-117.334,WF,10,201608010000Z
SF11C784972,Wildfires,46.57,-123.294,WF,10,201608010000Z
SF11C785071,Wildfires,47.881,-117.814,WF,10,201608010000Z
SF11C785072,Wildfires,47.739,-117.711,WF,10,201608010000Z
SF11C785191,Wildfires,48.186,-118.027,WF,10,201608010000Z
SF11C785203,Wildfires,48.823,-119.639,WF,10,201608010000Z
SF11C785228,Wildfires,47.883,-117.242,WF,10,201608010000Z
SF11C785391,Wildfires,47.722,-117.208,WF,10,201608010000Z
SF11C785525,Wildfires,48.117,-120.377,WF,10,201608010000Z
SF11C785697,Wildfires,47.695,-117.055,WF,10,201608010000Z
SF11C785814,Wildfires,47.63,-117.447,WF,10,201608010000Z
SF11C785894,Wildfires,48.66,-119.086,WF,10,201608010000Z
SF11C786401,Wildfires,48.634,-118.736,WF,10,201608010000Z
SF11C786432,Wildfires,48.173,-117.713,WF,10,201608010000Z
SF11C786571,Wildfires,45.716,-121.041,WF,10,201608010000Z
SF11C786716,Wildfires,48.511,-119.257,WF,10,201608010000Z
SF11C786728,Wildfires,48.983,-119.293,WF,10,201608010000Z
SF11C787013,Wildfires,47.855,-117.651,WF,10,201608010000Z
SF11C787132,Wildfires,46.817,-120.456,WF,10,201608010000Z
SF11C787152,Wildfires,47.722,-117.207,WF,10,201608010000Z
SF11C787204,Wildfires,45.737,-121.431,WF,10,201608010000Z
SF11C787205,Wildfires,47.369,-117.854,WF,10,201608010000Z
SF11C787267,Wildfires,48.494,-117.715,WF,10,201608010000Z
SF11C787408,Wildfires,48.615,-119.508,WF,10,201608010000Z
SF11C787536,Wildfires,48.584,-119.526,WF,10,201608010000Z
SF11C787566,Wildfires,45.693,-122.584,WF,10,201608010000Z
SF11C787626,Wildfires,48.606,-119.112,WF,10,201608010000Z
SF11C787654,Wildfires,46.986,-123.178,WF,10,201608010000Z
SF11C787817,Wildfires,48.415,-117.324,WF,10,201608010000Z
SF11C787817,Wildfires,48.415,-117.324,WF,10,201608010000Z
SF11C787877,Wildfires,47.677,-117.697,WF,10,201608010000Z
SF11C787934,Wildfires,48.802,-119.374,WF,10,201608010000Z
SF11C787997,Wildfires,47.229,-123.116,WF,10,201608010000Z
SF11C788044,Wildfires,47.455,-117.814,WF,10,201608010000Z
SF11C788073,Wildfires,48.184,-117.716,WF,10,201608010000Z
SF11C788114,Wildfires,47.255,-123.1,WF,10,201608010000Z
SF11C788116,Wildfires,45.846,-122.527,WF,10,201608010000Z
SF11C788123,Wildfires,47.671,-117.576,WF,10,201608010000Z
SF11C788158,Wildfires,46.587,-122.247,WF,10,201608010000Z
SF11C788197,Wildfires,48.545,-117.602,WF,10,201608010000Z
SF11C788389,Wildfires,46.699,-122.931,WF,10,201608010000Z
SF11C788463,Wildfires,47.99,-124.385,WF,10,201608010000Z
SF11C788727,Wildfires,48.06,-117.336,WF,10,201608010000Z
SF11C788830,Wildfires,47.593,-117.539,WF,10,201608010000Z
SF11C788905,Wildfires,47.703,-117.251,WF,10,201608010000Z
SF11C789218,Wildfires,47.936,-117.477,WF,10,201608010000Z
SF11C789673,Wildfires,47.001,-121.913,WF,10,201608010000Z
SF11C789673,Wildfires,47.001,-121.913,WF,10,201608010000Z
SF11C789674,Wildfires,47.899,-117.365,WF,10,201608010000Z
SF11C789753,Wildfires,46.54,-122.876,WF,10,201608010000Z
SF11C789878,Wildfires,47.605,-120.243,WF,10,201608010000Z
SF11C790366,Wildfires,48.84,-119.5,WF,10,201608010000Z
SF11C790627,Wildfires,48.134,-119.703,WF,10,201608010000Z
SF11C790987,Wildfires,47.535,-117.396,WF,10,201608010000Z
SF11C791319,Wildfires,47.855,-117.596,WF,10,201608010000Z
SF11C791555,Wildfires,47.594,-117.619,WF,10,201608010000Z
SF11C791801,Wildfires,46.86,-120.398,WF,10,201608010000Z
SF11C791812,Wildfires,47.731,-117.341,WF,10,201608010000Z
SF11C792094,Wildfires,48.857,-118.026,WF,10,201608010000Z
SF11C792128,Wildfires,47.197,-120.587,WF,10,201608010000Z
SF11C792128,Wildfires,47.197,-120.587,WF,10,201608010000Z
SF11C792274,Wildfires,47.579,-117.789,WF,10,201608010000Z
SF11C792643,Wildfires,47.545,-117.728,WF,10,201608010000Z
SF11C792649,Wildfires,47.743,-117.57,WF,10,201608010000Z
SF11C792650,Wildfires,47.915,-117.468,WF,10,201608010000Z
SF11C793081,Wildfires,47.252,-117.346,WF,10,201608010000Z
SF11C793095,Wildfires,47.284,-117.362,WF,10,201608010000Z
SF11C793714,Wildfires,45.723,-121.309,WF,10,201608010000Z
SF11C793719,Wildfires,47.864,-117.347,WF,10,201608010000Z
SF11C793818,Wildfires,47.557,-117.388,WF,10,201608010000Z
SF11C793957,Wildfires,48.362,-117.895,WF,10,201608010000Z
SF11C794099,Wildfires,48.009,-117.28,WF,10,201608010000Z
SF11C794266,Wildfires,48.423,-118.108,WF,10,201608010000Z
SF11C794321,Wildfires,48.569,-117.869,WF,10,201608010000Z
SF11C794323,Wildfires,47.558,-117.526,WF,10,201608010000Z
SF11C794343,Wildfires,47.773,-117.606,WF,10,201608010000Z
SF11C794371,Wildfires,47.918,-118.285,WF,10,201608010000Z
SF11C794372,Wildfires,47.946,-117.315,WF,10,201608010000Z
SF11C794527,Wildfires,48.124,-118.205,WF,10,201608010000Z
SF11C795259,Wildfires,48.554,-119.018,WF,10,201608010000Z
