id,event_id,latitude,longitude,type,area,date_time,event_url,sf_event_guid,sf_server,sf_stream_name
SF11C90436020788938980,SF11E528564,39.912,-74.244,RX,69.9999998261,201404250000Z,http://playground.dri.edu/smartfire/events/3925fd6a-46d9-4a7c-a764-5014914bc56c,3925fd6a-46d9-4a7c-a764-5014914bc56c,playground.dri.edu,realtime
SF11C90436120788938980,SF11E528636,39.606,-74.932,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/b8e4b1b0-e436-4055-8c3f-29be8a6923b5,b8e4b1b0-e436-4055-8c3f-29be8a6923b5,playground.dri.edu,realtime
SF11C90436220788938980,SF11E529013,26.206,-81.001,RX,102.222221968,201404250000Z,http://playground.dri.edu/smartfire/events/07db4be1-32e6-4dc8-997b-ef684ad4a059,07db4be1-32e6-4dc8-997b-ef684ad4a059,playground.dri.edu,realtime
SF11C90436320788938980,SF11E527453,41.229,-74.584,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/b730bad7-67ca-4878-87e1-20b960577994,b730bad7-67ca-4878-87e1-20b960577994,playground.dri.edu,realtime
SF11C90436420788938980,SF11E528066,41.328,-74.629,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/8b593d82-96b5-46f9-b7d2-1bf934d8bc2d,8b593d82-96b5-46f9-b7d2-1bf934d8bc2d,playground.dri.edu,realtime
SF11C90436520788938980,SF11E527888,41.157,-74.906,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/3307c377-0aa3-4b16-bdaf-b7dda92cda8f,3307c377-0aa3-4b16-bdaf-b7dda92cda8f,playground.dri.edu,realtime
SF11C90436620788938980,SF11E527839,27.165,-81.213,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/1b4e7ffd-4cfd-43ab-97fc-6e939e1f49b1,1b4e7ffd-4cfd-43ab-97fc-6e939e1f49b1,playground.dri.edu,realtime
SF11C90436720788938980,SF11E527891,41.269,-75.171,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/73780bc8-a397-403a-8d49-5481073ca2c6,73780bc8-a397-403a-8d49-5481073ca2c6,playground.dri.edu,realtime
SF11C90436820788938980,SF11E528687,28.649,-80.977,RX,149.999999627,201404250000Z,http://playground.dri.edu/smartfire/events/05eb1ec3-f384-457f-bad4-333fa9f3f8b8,05eb1ec3-f384-457f-bad4-333fa9f3f8b8,playground.dri.edu,realtime
SF11C90436920788938980,SF11E527676,41.036,-75.816,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/7a17e8fb-bf60-4668-9287-e3df5c50aab9,7a17e8fb-bf60-4668-9287-e3df5c50aab9,playground.dri.edu,realtime
SF11C90437020788938980,SF11E520974,27.517,-81.589,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/af3e950c-d0c2-4103-87df-d69f3332bb0e,af3e950c-d0c2-4103-87df-d69f3332bb0e,playground.dri.edu,realtime
SF11C90437120788938980,SF11E527438,27.375,-81.649,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/f8b3e249-d9c8-4b3b-a808-82e1dcb5bad9,f8b3e249-d9c8-4b3b-a808-82e1dcb5bad9,playground.dri.edu,realtime
SF11C90437220788938980,SF11E528418,41.139,-75.875,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/b920908a-944d-42fb-9561-a31335bd7c51,b920908a-944d-42fb-9561-a31335bd7c51,playground.dri.edu,realtime
SF11C90437320788938980,SF11E528248,27.981,-81.473,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/39c33ef6-8ecc-4bf4-a4bd-cec29474bd1d,39c33ef6-8ecc-4bf4-a4bd-cec29474bd1d,playground.dri.edu,realtime
SF11C90437420788938980,SF11E517361,28.119,-81.435,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/53e57b07-102e-400a-965b-f5875bed4535,53e57b07-102e-400a-965b-f5875bed4535,playground.dri.edu,realtime
SF11C90437520788938980,SF11E528504,42.77,-75.297,RX,121.999999697,201404250000Z,http://playground.dri.edu/smartfire/events/1df5ce89-0bb8-4db0-9cea-782309aec081,1df5ce89-0bb8-4db0-9cea-782309aec081,playground.dri.edu,realtime
SF11C90437620788938980,SF11E528238,29.071,-81.529,RX,69.9999998261,201404250000Z,http://playground.dri.edu/smartfire/events/20be1f83-1552-49b0-bc0f-c61092844e2b,20be1f83-1552-49b0-bc0f-c61092844e2b,playground.dri.edu,realtime
SF11C90437720788938980,SF11E527419,28.12,-82.095,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/9a98b70e-088a-4bda-a1e8-82bd957aa6c5,9a98b70e-088a-4bda-a1e8-82bd957aa6c5,playground.dri.edu,realtime
SF11C90437820788938980,SF11E527880,29.543,-81.613,RX,69.9999998261,201404250000Z,http://playground.dri.edu/smartfire/events/3224a0f6-6277-4b3f-8bba-440c6ccfaab8,3224a0f6-6277-4b3f-8bba-440c6ccfaab8,playground.dri.edu,realtime
SF11C90437920788938980,SF11E528090,29.798,-81.856,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/77fad3f5-d286-49c1-8218-941c411b0874,77fad3f5-d286-49c1-8218-941c411b0874,playground.dri.edu,realtime
SF11C90438020788938980,SF11E528521,34.518,-80.193,RX,69.9999998261,201404250000Z,http://playground.dri.edu/smartfire/events/fe9090dc-b164-42c1-90b7-8c21a48c59b4,fe9090dc-b164-42c1-90b7-8c21a48c59b4,playground.dri.edu,realtime
SF11C90438120788938980,SF11E528777,28.322,-82.598,RX,99.9999997516,201404250000Z,http://playground.dri.edu/smartfire/events/48b65208-8a5a-47ae-a958-d4678ea8530e,48b65208-8a5a-47ae-a958-d4678ea8530e,playground.dri.edu,realtime
