hour, area_fract, flame, smolder, residual
0, 0.005700, 0.005700, 0.005700, 0.005700
1, 0.005700, 0.005700, 0.005700, 0.005700
2, 0.005700, 0.005700, 0.005700, 0.005700
3, 0.005700, 0.005700, 0.005700, 0.005700
4, 0.005700, 0.005700, 0.005700, 0.005700
5, 0.005700, 0.005700, 0.005700, 0.005700
6, 0.005700, 0.005700, 0.005700, 0.005700
7, 0.005700, 0.005700, 0.005700, 0.005700
8, 0.005700, 0.005700, 0.005700, 0.005700
9, 0.005700, 0.005700, 0.005700, 0.005700
10, 0.020000, 0.020000, 0.020000, 0.020000
11, 0.040000, 0.040000, 0.040000, 0.040000
12, 0.070000, 0.070000, 0.070000, 0.070000
13, 0.100000, 0.100000, 0.100000, 0.100000
14, 0.130000, 0.130000, 0.130000, 0.130000
15, 0.160000, 0.160000, 0.160000, 0.160000
16, 0.170000, 0.170000, 0.170000, 0.170000
17, 0.120000, 0.120000, 0.120000, 0.120000
18, 0.070000, 0.070000, 0.070000, 0.070000
19, 0.040000, 0.040000, 0.040000, 0.040000
20, 0.005700, 0.005700, 0.005700, 0.005700
21, 0.005700, 0.005700, 0.005700, 0.005700
22, 0.005700, 0.005700, 0.005700, 0.005700
23, 0.005700, 0.005700, 0.005700, 0.005700
